composition,year,merit
In0.015Pb0.985Te0.996I0.004,2012,0.5174129353233833
In0.01Pb0.99Te0.998I0.002,2012,0.5101522842639596
In0.005Pb0.995Te0.999I0.001,2012,0.3612565445026179
Pb0.975Na0.025Zn0.01S1.01,2012,0.976891224173922
In0.015Pb0.985Te0.998I0.002,2012,0.4022404981893256
Pb0.975Na0.025Zn0.02S1.02,2012,1.0532253712038262
In0.015Pb0.985Te0.994I0.006,2012,0.5089179950587203
Sn0.95Mg0.08Te1,2015,0.9539495798319324
Pb0.95Sr0.04Na0.01Se1,2013,1.1776595744680851
Pb1Te1,2013,0.7937223214979412
Pb1S1Cl0.0008,2011,0.3318967150739753
Al0.04Pb1Te1,2013,1.1291803278688526
Sn0.83Mn0.17Te1,2015,1.3045643153526971
In0.01Pb0.99Te0.994I0.006,2012,0.5888324873096449
Pb0.32Mn0.04Sn0.64Te1,2014,0.4258064516129032
Pb0.98Ca0.01Na0.01Se1,2013,1.135814173618754
Pb0.96Ba0.03Na0.01Se1,2013,1.256124721603563
Pb1.05S1Cl0.1,2011,0.1166645191608054
Pb0.954Sn0.046Te0.92S0.08,2007,1.486585184818645
Pb1S1,2011,0.4887144421947093
Sn0.93Mn0.07Te1,2015,0.8514522821576762
Pb0.5Sn0.5Te1,2009,0.5170234519777621
Sn0.91Mn0.09Te1,2015,1.2
Pb0.97Sr0.02Na0.01Se1,2013,1.247872340425532
Pb1S0.97Te0.03Cl0.002,2011,0.8064609818435293
Pb1S0.84Te0.16Cl0.00066,2011,0.7212902877817241
Pb0.994Sn0.01Se0.998Cl0.002,2015,0.9501878910129736
Pb0.97Ca0.02Na0.01Se1,2013,0.934057026522479
Pb0.975Na0.025Cd0.03S1.03,2012,1.2957928802588978
Sn0.98Bi0.02Hg0.02Te1.02,2015,1.0311689131601374
Pb1.02S1Cl0.04,2011,0.18885008640553
Sn0.87Mn0.13Te1,2015,0.8663900414937759
Pb0.94Sn0.1Se0.998Cl0.002,2015,1.0251968503937012
Pb0.975Na0.025Zn0.04S1.04,2012,1.13475311494834
In0.01Pb0.99Te0.999I0.001,2012,0.3299492385786803
In0.005Pb0.995Te0.994I0.006,2012,0.5235602094240839
Sn0.96Mg0.07Te1,2015,0.8934453781512601
Pb1S1,2011,0.3060679041353385
Sn0.81Mn0.19Te1,2015,0.9510373443983402
Pb0.954Sn0.05Se0.998Cl0.002,2015,0.9787514207018017
Sn0.96Ca0.07Te1,2016,1.1016260162601623
Pb0.975Na0.025Cd0.04S1.04,2012,1.1825242718446596
Sn1Ca0.03Te1,2016,0.8008130081300813
Sn0.8Mn0.2Te1,2015,0.6721991701244813
Pb0.9995La0.0005Te1,2014,0.3078787878787883
Sn0.98Mg0.05Te1,2015,0.3973109243697476
Pb0.98Sr0.01Na0.01Se1,2013,1.1744680851063831
Pb0.99La0.01Te1,2014,1.0297969455779452
Pb1S0.9968Cl0.0032,2012,0.7089738500043152
Pb0.854Sn0.15Se0.998Cl0.002,2015,0.8469594421633581
Sn1Mn0.03Te1,2015,0.8773457486957857
Pb0.95Ca0.04Na0.01Se1,2013,1.218124382575772
Pb1Te1,2013,0.2247079223698332
Sn1.01Mg0.02Te1,2015,0.3065546218487392
Sn0.98Bi0.02Te1,2015,0.8418068752170206
